category,target,field,value
instocker_side,L,work_available_id,6005.F
instocker_side,L,done_id,5005.D
instocker_side,L,error_id,5005.E
instocker_side,L,safe_id,5005.F
instocker_side,R,work_available_id,6006.F
instocker_side,R,done_id,5006.D
instocker_side,R,error_id,5006.E
instocker_side,R,safe_id,5006.F
instocker_slot,L1,working_id,5005.0
instocker_slot,L1,product_type_id,6030
instocker_slot,L1,amr_pos,LM100
instocker_slot,L1,mani_pos,11
instocker_slot,L2,working_id,5005.1
instocker_slot,L2,product_type_id,6031
instocker_slot,L2,amr_pos,LM100
instocker_slot,L2,mani_pos,12
instocker_slot,L3,working_id,5005.2
instocker_slot,L3,product_type_id,6032
instocker_slot,L3,amr_pos,LM100
instocker_slot,L3,mani_pos,13
instocker_slot,L4,working_id,5005.3
instocker_slot,L4,product_type_id,6033
instocker_slot,L4,amr_pos,LM100
instocker_slot,L4,mani_pos,14
instocker_slot,L5,working_id,5005.4
instocker_slot,L5,product_type_id,6034
instocker_slot,L5,amr_pos,LM100
instocker_slot,L5,mani_pos,15
instocker_slot,L6,working_id,5005.5
instocker_slot,L6,product_type_id,6035
instocker_slot,L6,amr_pos,LM100
instocker_slot,L6,mani_pos,16
instocker_slot,R1,working_id,5006.0
instocker_slot,R1,product_type_id,6040
instocker_slot,R1,amr_pos,LM99
instocker_slot,R1,mani_pos,11
instocker_slot,R2,working_id,5006.1
instocker_slot,R2,product_type_id,6041
instocker_slot,R2,amr_pos,LM99
instocker_slot,R2,mani_pos,12
instocker_slot,R3,working_id,5006.2
instocker_slot,R3,product_type_id,6042
instocker_slot,R3,amr_pos,LM99
instocker_slot,R3,mani_pos,13
instocker_slot,R4,working_id,5006.3
instocker_slot,R4,product_type_id,6043
instocker_slot,R4,amr_pos,LM99
instocker_slot,R4,mani_pos,14
instocker_slot,R5,working_id,5006.4
instocker_slot,R5,product_type_id,6044
instocker_slot,R5,amr_pos,LM99
instocker_slot,R5,mani_pos,15
instocker_slot,R6,working_id,5006.5
instocker_slot,R6,product_type_id,6045
instocker_slot,R6,amr_pos,LM99
instocker_slot,R6,mani_pos,16
grinder,1,product_type_id,6140
grinder,1,bypass_id,6003.0
grinder_position,1-L,amr_pos,LM1
grinder_position,1-L,mani_pos,41
grinder_signal,1-L,input_ready_id,6007.0
grinder_signal,1-L,output_ready_id,6007.1
grinder_signal,1-L,safe_pos_id,
grinder_signal,1-L,input_in_progress_id,
grinder_signal,1-L,input_done_id,
grinder_signal,1-L,output_in_progress_id,
